G3;G2;G1;MarketCap in M;Symbol
3;4;2;590;KLJ
1;2;9;100;JSDH
3;6;3;700;KJW
5;2;0;250;KJSD
2;0;1;470;DW
3;2;0;390;SDW
0;0;2;540;MJK
0;4;0;530;DKJ
3;1;0;250;DHF
0;0;2;430;LKJ
2;2;0;480;JL
0;0;4;700;KOL
5;3;1;300;DFE
0;1;2;650;SBG
1;1;3;530;WRH
2;3;1;720;CDW
2;0;0;100;IUH
7;3;4;900;SWF
2;3;5;880;SFH
4;2;1;230;OIL
2;0;0;70;RWI
10;3;2;1400;CHP
1;1;2;420;XQW
2;2;0;640;SST
1;0;0;25;OKP
4;1;0;400;XYP
6;3;2;1330;ARR
4;0;0;250;YROP
0;0;4;760;XCN
0;3;0;400;NVM
0;0;1;340;HZU
4;4;0;700;YRW
0;0;2;460;AOP
1;1;1;500;HJJ
4;5;8;1400;YIL
3;3;0;700;ASX
0;0;3;640;XXZ
4;0;0;370;IUH
0;0;2;460;HVM
5;7;0;300;PLQ
0;0;2;890;YXX
2;7;0;1690;RCO
2;0;2;470;GH
3;6;0;870;SOL
2;4;6;1555;XMV
4;0;0;500;QZG
3;8;0;890;YTT
3;0;0;350;DGC
1;1;0;560;OLC
